,Sentences
1772,"It is very interesting that this force is exactly proportional to the mass with great precision, because if it were not exactly proportional there would be some effect by which inertia and weight would differ."
1773,The absence of such an effect has been checked with great accuracy by an experiment done first by Eötvös in 1909 and more recently by Dicke.
1774,This is a remarkable experiment.
1775,Another topic deserving discussion is Einstein’s modification of Newton’s law of gravitation.
1776,"In spite of all the excitement it created, Newton’s law of gravitation is not correct!"
1777,It was modified by Einstein to take into account the theory of relativity.
1778,"According to Newton, the gravitational effect is instantaneous, that is, if we were to move a mass, we would at once feel a new force because of the new position of that mass; by such means we could send signals at infinite speed."
1779,"Einstein advanced arguments which suggest that we cannot send     signals faster than the speed of light, so the law of gravitation must be wrong."
1780,"By correcting it to take the delays into account, we have a new law, called Einstein’s law of gravitation."
1781,"One feature of this new law which is quite easy to understand is this: In the Einstein relativity theory, anything which has energy has mass—mass in the sense that it is attracted gravitationally."
1782,"Even light, which has an energy, has a “mass.” When a light beam, which has energy in it, comes past the sun there is an attraction on it by the sun."
1783,"Thus the light does not go straight, but is deflected."
1784,"During the eclipse of the sun, for example, the stars which are around the sun should appear displaced from where they would be if the sun were not there, and this has been observed."
1785,"Finally, let us compare gravitation with other theories."
1786,"In recent years we have discovered that all mass is made of tiny particles and that there are several kinds of interactions, such as nuclear forces, etc."
1787,None of these nuclear or electrical forces has yet been found to explain gravitation.
1788,The quantum-mechanical aspects of nature have not yet been carried over to gravitation.
1789,"When the scale is so small that we need the quantum effects, the gravitational effects are so weak that the need for a quantum theory of gravitation has not yet developed."
1790,"On the other hand, for consistency in our physical theories it would be important to see whether Newton’s law modified to Einstein’s law can be further modified to be consistent with the uncertainty principle."
1791,This last modification has not yet been completed.
1792,"In order to find the laws governing the various changes that take place in bodies as time goes on, we must be able to describe the changes and have some way to record them."
1793,"The simplest change to observe in a body is the apparent change in its position with time, which we call motion."
1794,"Let us consider some solid object with a permanent mark, which we shall call a point, that we can observe."
1795,"We shall discuss the motion of the little marker, which might be the radiator cap of an automobile or the center of a falling ball, and shall try to describe the fact that it moves and how it moves."
1796,"These examples may sound trivial, but many subtleties enter into the description of change."
1797,"Some changes are more difficult to describe than the motion of a point on a solid object, for example the speed of drift of a cloud that is drifting very slowly, but rapidly forming or evaporating, or the change of a woman’s mind."
1798,"We do not know a simple way to analyze a change of mind, but since the cloud can be represented or described by many molecules, perhaps we can describe the motion of the cloud in principle by describing the motion of all its individual molecules."
1799,"Likewise, perhaps even the changes in the mind may have a parallel in changes of the atoms inside the brain, but we have no such knowledge yet."
1800,"At any rate, that is why we begin with the motion of points; perhaps we should think of them as atoms, but it is probably better to be more rough in the beginning and simply to think of some kind of small objects—small, that is, compared with the distance moved."
1801,"For instance, in describing the motion of a car that is going a hundred miles, we do not have to distinguish between the front and the back of the car."
1802,"To be sure, there are slight differences, but for rough purposes we say “the car,” and likewise it does not matter that our points are not absolute points; for our present purposes it is not necessary to be extremely precise."
1803,"Also, while we take a first look at this subject we are going to forget about the three dimensions of the world."
1804,"We shall just concentrate on moving in one direction, as in a car on one road."
1805,We shall return to three dimensions after we see how to describe motion in one dimension.
1806,"Now, you may say, “This is all some kind of trivia,” and indeed it is."
1807,"How can we describe such a one-dimensional motion—let us say, of a car?"
1808,Nothing could be simpler.
1809,"Among many possible ways, one would be the following."
1810,"To determine the position of the car at different times, we measure its distance from the starting point and record all the observations."
1811,The first line in the table represents zero distance and zero time—the car has not started yet.
1812,That is one way to describe the motion.
1813,Another way is by means of a graph.
1814,"If we plot the time horizontally and the distance vertically, we obtain a curve something like that shown in Fig."
1815,8–1.
1816,"These observations can be made from the graph, without a table."
1817,"Obviously, for a complete description one would have to know where the car is at the half-minute marks, too, but we suppose that the graph means something, that the car has some position at all the intermediate times."
1818,The motion of a car is complicated.
1819,"For another example we take something that moves in a simpler manner, following more simple laws: a falling ball."
1820,Table 8–2 gives the time in seconds and the distance in feet for a falling body.
1821,8–2.
1822,You might say there ought to be a formula for the first graph too.
1823,"Since we do not know what the function is, there is no way we can write it in definite algebraic form."
1824,"We have now seen two examples of motion, adequately described with very simple ideas, no subtleties."
1825,"However, there are subtleties—several of them."
1826,"In the first place, what do we mean by time and space?"
1827,"It turns out that these deep philosophical questions have to be analyzed very carefully in physics, and this is not so easy to do."
1828,The theory of relativity shows that our ideas of space and time are not as simple as one might think at first sight.
1829,"However, for our present purposes, for the accuracy that we need at first, we need not be very careful about defining things precisely."
1830,"Perhaps you say, “That’s a terrible thing—I learned that in science we have to define everything precisely.” We cannot define anything precisely!"
1831,"If we attempt to, we get into that paralysis of thought that comes to philosophers, who sit opposite each other, one saying to the other, “You don’t know what you are talking about!” The second one says, “What do you mean by know?"
1832,What do you mean by talking?
1833,"What do you mean by you?,” and so on."
1834,"In order to be able to talk constructively, we just have to agree that we are talking about roughly the same thing."
1835,"You know as much about time as we need for the present, but remember that there are some subtleties that have to be discussed; we shall discuss them later."
1836,"Another subtlety involved, and already mentioned, is that it should be possible to imagine that the moving point we are observing is always located somewhere."
1837,"(Of course when we are looking at it, there it is, but maybe when we look away it isn’t there.)"
1838,"It turns out that in the motion of atoms, that idea also is false—we cannot find a marker on an atom and watch it move."
1839,That subtlety we shall have to get around in quantum mechanics.
1840,"But we are first going to learn what the problems are before introducing the complications, and then we shall be in a better position to make corrections, in the light of the more recent knowledge of the subject."
1841,"We shall, therefore, take a simple point of view about time and space."
1842,"We know what these concepts are in a rough way, and those who have driven a car know what speed means."
1843,"Even though we know roughly what “speed” means, there are still some rather deep subtleties; consider that the learned Greeks were never able to adequately describe problems involving velocity."
1844,"The subtlety comes when we try to comprehend exactly what is meant by “speed.” The Greeks got very confused about this, and a new branch of mathematics had to be discovered beyond the geometry and algebra of the Greeks, Arabs, and Babylonians."
1845,"The Greeks were somewhat confused by such problems, being helped, of course, by some very confusing Greeks."
1846,"To show that there were difficulties in reasoning about speed at the time, Zeno produced a large number of paradoxes, of which we shall mention one to illustrate his point that there are obvious difficulties in thinking about motion."
1847,"Therefore, at any moment the tortoise is always ahead of Achilles and Achilles can never catch up with the tortoise.”  What is wrong with that?"
1848,"It is that a finite amount of time can be divided into an infinite number of pieces, just as a length of line can be divided into an infinite number of pieces by dividing repeatedly by two."
1849,"And so, although there are an infinite number of steps (in the argument) to the point at which Achilles reaches the tortoise, it doesn’t mean that there is an infinite amount of time."
1850,We can see from this example that there are indeed some subtleties in reasoning about speed.
1851,"In order to get to the subtleties in a clearer fashion, we remind you of a joke which you surely must have heard."
1852,Just what do we mean?
1853,"What does that mean—kept on accelerating, going faster?"
1854,No—kept on going with the same velocity.
1855,But that is what we are trying to define!
1856,"For if the ball keeps on going the way it is going, it will just keep on going the way it is going."
1857,Thus we need to define the velocity better.
1858,What has to be kept the same?
1859,"The lady can also argue this way: “If I kept on going the way I’m going for one more hour, I would run into that wall at the end of the street!” It is not so easy to say what we mean."
1860,Many physicists think that measurement is the only definition of anything.
1861,We believe that there is something to measure before we build the speedometer.
1862,"Only then can we say, for example, “The speedometer isn’t working right,” or “the speedometer is broken.” That would be a meaningless sentence if the velocity had no meaning independent of the speedometer."
1863,"So we have in our minds, obviously, an idea that is independent of the speedometer, and the speedometer is meant only to measure this idea."
1864,So let us see if we can get a better definition of the idea.
1865,"In fact, the falling ball could not keep going the same way even one second because it would be changing speed, and we shall have to define speed somehow."
1866,"In other words, she does not have to keep on going for the whole hour; the point is that for a moment she is going at that speed."
1867,"In other words, we can find the speed in this way: We ask, how far do we go in a very short time?"
1868,"We divide that distance by the time, and that gives the speed."
1869,"But the time should be made as short as possible, the shorter the better, because some change could take place during that time."
1870,"If we take the time of a falling body as an hour, the idea is ridiculous."
1871,"If we take it as a second, the result is pretty good for a car, because there is not much change in speed, but not for a falling body; so in order to get the speed more and more accurately, we should take a smaller and smaller time interval."
1872,"What we should do is take a millionth of a second, find  out how far the car has gone, and divide that distance by a millionth of a second."
1873,"The result gives the distance per second, which is what we mean by the velocity, so we can define it that way."
1874,"That is a successful answer for the lady, or rather, that is the definition that we are going to use."
1875,"The foregoing definition involves a new idea, an idea that was not available to the Greeks in a general form."
1876,"That idea was to take an infinitesimal distance and the corresponding infinitesimal time, form the ratio, and watch what happens to that ratio as the time that we use gets smaller and smaller and smaller."
1877,"In other words, take a limit of the distance travelled divided by the time required, as the time taken gets smaller and smaller, ad infinitum."
1878,"This idea was invented by Newton and by Leibniz, independently, and is the beginning of a new branch of mathematics, called the differential calculus."
1879,Let us try to define velocity a little better.
1880,So only if the table were completed with an infinite number of entries could we really calculate the velocity from such a table.
1881,"On the other hand, when we have a complete mathematical formula, as in the case of a falling body (Eq."
1882,"8.1), then it is possible to calculate the velocity, because we can calculate the position at any time whatsoever."
1883,We want to find out exactly how fast.
1884,8.1).
1885,"That is closer, very close, but it is still not exact."
1886,It should now be evident what we must do to find the speed exactly.
1887,"When we get used to the words, the ideas are more easily understood."
1888,"For practice, let us find the derivative of a more complicated function."
1889,"Starting from the formula for the motion, we wish to find the velocity at any time."
1890,The process is even more simple than it appears.
1891,After a little practice the process gets easier because one knows what to leave out.
1892,There are many rules or formulas for differentiating various types of functions.
1893,"These can be memorized, or can be found in tables."
1894,A short list is found in Table 8–3.
1895,Now we have to discuss the inverse problem.
1896,"Suppose that instead of a table of distances, we have a table of speeds at different times, starting from zero."
1897,"For the falling ball, such speeds and times are shown in Table 8–4."
1898,"A similar table could be constructed for the velocity of the car, by recording the speedometer reading every minute or half-minute."
1899,"If we know how fast the car is going at any time, can we determine how far it goes?"
1900,This problem is just the inverse of the one solved above; we are given the velocity and asked to find the distance.
1901,How can we find the distance if we know the speed?
1902,"If the speed of the car is not constant, and the lady goes sixty miles an hour for a moment, then slows down, speeds up, and so on, how can we determine how far she has gone?"
1903,That is easy.
1904,"We use the same idea, and express the distance in terms of infinitesimals."
1905,"We proceed similarly for each second, to the end of the run."
1906,"We now have a number of little distances, and the total distance will be the sum of all these little pieces."
1907,"If we take the times short enough, the sum is precise, so we take them smaller and smaller until we obtain the desired accuracy."
1908,"One can get formulas for integrals by taking the formulas for derivatives and running them backwards, because they are related to each other inversely."
1909,Thus one can work out his own table of integrals by differentiating all sorts of functions.
1910,"For every formula with a differential, we get an integral formula if we turn it around."
1911,"Every function can be differentiated analytically, i.e., the process can be carried out algebraically, and leads to a definite function."
1912,But it is not possible in a simple manner to write an analytical value for any integral at will.
1913,"In general, given some particular function, it is not possible to find, analytically, what the integral is."
1914,"One may always try to find a function which, when differentiated, gives some desired function; but one may not find it, and it may not exist, in the sense of being expressible in terms of functions that have already been given names."
1915,"The next step in developing the equations of motion is to introduce another idea which goes beyond the concept of velocity to that of change of velocity, and we now ask, “How does the velocity change?” In previous chapters we have discussed cases in which forces produce changes in velocity."
1916,"From such a performance we can see how fast the speed changes, but only on the average."
1917,"What we shall now discuss is the next level of complexity, which is how fast the velocity is changing."
1918,"In other words, by how many feet per second does the velocity change in a second, that is, how many feet per second, per second?"
1919,Acceleration is defined as the time rate of change of velocity.
1920,"This is a very simple case, for accelerations are usually not constant."
1921,"The reason the acceleration is constant here is that the force on the falling body is constant, and Newton’s law says that the acceleration is proportional to the force."
1922,"As a further example, let us find the acceleration in the problem we have already solved for the velocity."
1923,Recall the rule that the derivative of the two terms on the right equals the sum of the derivatives of the individual terms.
1924,"For reference, we state two very useful formulas, which can be obtained by integration."
1925,Various mathematical notations are used in writing derivatives.
1926,We have another law that the velocity is equal to the integral of the acceleration.
1927,"In the foregoing discussion the motion was in only one dimension, and space permits only a brief discussion of motion in three dimensions."
1928,"At the beginning of this chapter, we opened our discussion of the one-dimensional case of a moving car by observing the distance of the car from its starting point at various times."
1929,"We then discussed velocity in terms of changes of these distances with time, and acceleration in terms of changes in velocity."
1930,We can treat three-dimensional motion analogously.
1931,"It will be simpler to illustrate the motion on a two-dimensional diagram, and then extend the ideas to three dimensions."
1932,"We establish a pair of axes at right angles to each other, and determine the position of the particle at any moment by measuring how far it is from each of the two axes."
1933,The distances are now measured from coordinate planes instead of lines.)
1934,We first find the components of velocity in each direction.
1935,"Now, given the components of velocity, how can we find the velocity along the actual path of motion?"
1936,8–3.
1937,Let us consider one nice example of compound motion in a plane.
1938,"When this equation is plotted we obtain a curve that is called a parabola; any freely falling body that is shot out in any direction will travel in a parabola, as shown in Fig."
1939,8–4.
1940,"The discovery of the laws of dynamics, or the laws of motion, was a dramatic moment in the history of science."
1941,"Before Newton’s time, the motions of things like the planets were a mystery, but after Newton there was complete understanding."
1942,"Even the slight deviations from Kepler’s laws, due to the perturbations of the planets, were computable."
1943,"The motions of pendulums, oscillators with springs and weights in them, and so on, could all be analyzed completely after Newton’s laws were enunciated."
1944,So it is with this chapter: before this chapter we could not calculate how a mass on a spring would move; much less could we calculate the perturbations on the planet Uranus due to Jupiter and Saturn.
1945,"After this chapter we will be able to compute not only the motion of the oscillating mass, but also the perturbations on the planet Uranus produced by Jupiter and Saturn!"
1946,"Galileo made a great advance in the understanding of motion when he discovered the principle of inertia: if an object is left alone, is not disturbed, it continues to move with a constant velocity in a straight line if it was originally moving, or it continues to stand still if it was just standing still."
1947,"Of course this never appears to be the case in nature, for if we slide a block across a table it stops, but that is because it is not left to itself—it is rubbing against the table."
1948,"It required a certain imagination to find the right rule, and that imagination was supplied by Galileo."
1949,"Of course, the next thing which is needed is a rule for finding how an object changes its speed if something is affecting it."
1950,"That is, the contribution of Newton."
1951,Newton wrote down three laws: The First Law was a mere restatement of the Galilean principle of inertia just described.
1952,The Second Law gave a specific way of determining how the velocity changes under different influences called forces.
1953,"The Third Law describes the forces to some extent, and we shall discuss that at another time."
1954,"Here we shall discuss only the Second Law, which asserts that the motion of an object is changed by forces in this way: the time-rate-of-change of a quantity called momentum is proportional to the force."
1955,"We shall state this mathematically shortly, but let us first explain the idea."
1956,Momentum is not the same as velocity.
1957,"A lot of words are used in physics, and they all have precise meanings in physics, although they may not have such precise meanings in everyday language."
1958,"Momentum is an example, and we must define it precisely."
1959,"If we exert a certain push with our arms on an object that is light, it moves easily; if we push just as hard on another object that is much heavier in the usual sense, then it moves much less rapidly."
1960,"Actually, we must change the words from “light” and “heavy” to less massive and more massive, because there is a difference to be understood between the weight of an object and its inertia."
1961,"(How hard it is to get it going is one thing, and how much it weighs is something else.)"
1962,"Weight and inertia are proportional, and on the earth’s surface are often taken to be numerically equal, which causes a certain confusion to the student."
1963,"On Mars, weights would be different but the amount of force needed to overcome inertia would be the same."
1964,"We use the term mass as a quantitative measure of inertia, and we may measure mass, for example, by swinging an object in a circle at a certain speed and measuring how much force we need to keep it in the circle."
1965,In this way we find a certain quantity of mass for every object.
1966,Now the momentum of an object is a product of two parts: its mass and its velocity.
1967,"In writing down any law such as this, we use many intuitive ideas, implications, and assumptions which are at first combined approximately into our “law.”  Later we may have to come back and study in greater detail exactly what each term means, but if we try to do this too soon we shall get confused."
1968,Thus at the beginning we take several things for granted.
1969,"First, that the mass of an object is constant; it isn’t really, but we shall start out with the Newtonian approximation that mass is constant, the same all the time, and that, further, when we put two objects together, their masses add."
1970,"These ideas were of course implied by Newton when he wrote his equation, for otherwise it is meaningless."
1971,"For example, suppose the mass varied inversely as the velocity; then the momentum would never change in any circumstance, so the law means nothing unless you know how the mass changes with velocity."
1972,"At first we say, it does not change."
1973,Then there are some implications concerning force.
1974,"As a rough approximation we think of force as a kind of push or pull that we make with our muscles, but we can define it more accurately now that we have this law of motion."
1975,The most important thing to realize is that this relationship involves not only changes in the magnitude of the momentum or of the velocity but also in their direction.
1976,"If the mass is constant, then Eq."
1977,"Thus we must understand that a change in a velocity, or an acceleration, has a wider meaning than in common language: The velocity of a moving object can change by its speeding up, slowing down (when it slows down, we say it accelerates with a negative acceleration), or changing its direction of motion."
1978,An acceleration at right angles to the velocity was discussed in Chapter 7.
1979,"In order to make our language more precise, we shall make one further definition in our use of the words speed and velocity."
1980,"Ordinarily we think of speed and velocity as being the same, and in ordinary language they are the same."
1981,But in physics we have taken advantage of the fact that there are two words and have chosen to use them to distinguish two ideas.
1982,"We carefully distinguish velocity, which has both magnitude and direction, from speed, which we choose to mean the magnitude of the velocity, but which does not include the direction."
1983,"Suppose, for example, that at a certain instant an object is moving as shown in Fig."
1984,9–1.
1985,In Eq.
1986,"Next, suppose that, because of the action of a force, the velocity changes to some other direction and a different magnitude, as shown in Fig."
1987,9–2.
1988,Newton’s Second Law is given in complete form in Eq.
1989,(9.7).
1990,Let us consider a simple example.
1991,"Equation (9.7) tells us that there would be changes in the velocity in the vertical direction, but no changes in the horizontal direction."
1992,This was demonstrated with a special apparatus in Chapter 7 (see Fig.
1993,7–3).
1994,"A falling body moves horizontally without any change in horizontal motion, while it moves vertically the same way as it would move if the horizontal motion were zero."
1995,"In order to use Newton’s laws, we have to have some formula for the force; these laws say pay attention to the forces."
1996,"If an object is accelerating, some agency is at work; find it."
1997,Our program for the future of dynamics must be to find the laws for the force.
1998,Newton himself went on to give some examples.
1999,In the case of gravity he gave a specific formula for the force.
2000,"In the case of other forces he gave some part of the information in his Third Law, which we will study in the next chapter, having to do with the equality of action and reaction."
2001,"Extending our previous example, what are the forces on objects near the earth’s surface?"
2002,Again we find that the motion in the horizontal direction is at constant velocity.
2003,"As another example, let us suppose that we have been able to build a gadget (Fig."
2004,9–3) which applies a force proportional to the distance and directed oppositely—a spring.
2005,"If we forget about gravity, which is of course balanced out by the initial stretch of the spring, and talk only about excess forces, we see that if we pull the mass down, the spring pulls up, while if we push it up the spring pulls down."
2006,"This machine has been designed carefully so that the force is greater, the more we pull it up, in exact proportion to the displacement from the balanced condition, and the force upward is similarly proportional to how far we pull down."
2007,"If we watch the dynamics of this machine, we see a rather beautiful motion—up, down, up, down, … The question is, will Newton’s equations correctly describe this motion?"
2008,"Let us see whether we can exactly calculate how it moves with this periodic oscillation, by applying Newton’s law (9.7)."
2009,Now let us try to analyze just what Eq.
2010,(9.12) means.
2011,"If we can answer this question our problem is solved, for then we can start with the given condition and compute how it changes for the first instant, the next instant, the next instant, and so on, and in this way we gradually evolve the motion."
2012,Why does the object move at all?
2013,"Therefore the velocity which is zero starts to change, because of the law of motion."
2014,"Once it starts to build up some velocity the object starts to move up, and so on."
2015,Now what about the velocity?
2016,And how are we going to find the acceleration?
2017,That is where the law of dynamics comes in.
2018,The law of dynamics tells us what the acceleration is.
2019,But Eq.
2020,"The velocity changes a little bit because of the force, and the position changes a little bit because of the velocity."
2021,Now let us really solve the problem.
2022,"However, for practical purposes there are some little tricks by which we can increase the accuracy."
2023,Then to go through a reasonable total time interval would take a lot of cycles of computation.
2024,This can be done if we make a subtle improvement in the technique of the analysis.
2025,But the velocity when?
2026,The velocity at the beginning of the time interval is one velocity and the velocity at the end of the time interval is another velocity.
2027,Our improvement is to use the velocity halfway between.
2028,"If we know the speed now, but the speed is changing, then we are not going to get the right answer by going at the same speed as now."
2029,We should use some speed between the “now” speed and the “then” speed at the end of the interval.
2030,"The same considerations also apply to the velocity: to compute the velocity changes, we should use the acceleration midway between the two times at which the velocity is to be found."
2031,Now we are ready to carry through our calculation.
2032,"For convenience, we may arrange the work in the form of a table, with columns for the time, the position, the velocity, and the acceleration, and the in-between lines for the velocity, as shown in Table 9–1."
2033,"Such a table is, of course, just a convenient way of representing the numerical values obtained from the set of equations (9.16), and in fact the equations themselves need never be written."
2034,We just fill in the various spaces in the table one by one.
2035,"This table now gives us a very good idea of the motion: it starts from rest, first picks up a little upward (negative) velocity and it loses some of its distance."
2036,The acceleration is then a little bit less but it is still gaining speed.
2037,Thus the speed decreases.
2038,9–4.
2039,The agreement is within the three significant figure accuracy of our calculation!
2040,"The above analysis is very nice for the motion of an oscillating spring, but can we analyze the motion of a planet around the sun?"
2041,Let us see whether we can arrive at an approximation to an ellipse for the orbit.
2042,"We shall suppose that the sun is infinitely heavy, in the sense that we shall not include its motion."
2043,"Suppose a planet starts at a certain place and is moving with a certain velocity; it goes around the sun in some curve, and we shall try to analyze, by Newton’s laws of motion and his law of gravitation, what the curve is."
2044,How?
2045,At a given moment it is at some position in space.
2046,To analyze this further we must find out what acceleration will be produced by this force.
2047,9–5.
2048,Now how do we make the calculation?
2049,In order to get the accelerations we are going to need Eq.
2050,In Fig.
2051,"The dots represent the positions at the succession of times a tenth of a unit apart; we see that at the start the planet moves rapidly and at the end it moves slowly, and so the shape of the curve is determined."
2052,Thus we see that we really do know how to calculate the motion of planets!
2053,"Now let us see how we can calculate the motion of Neptune, Jupiter, Uranus, or any other planet."
2054,"If we have a great many planets, and let the sun move too, can we do the same thing?"
2055,Of course we can.
2056,We must know the positions of all the planets.
2057,"Thus all we have to do is to make more columns, lots more columns."
2058,"We need nine columns for the motions of Jupiter, nine for the motions of Saturn, and so on."
2059,Then when we have all initial positions and velocities we can calculate all the accelerations from Eq.
2060,"(9.18) by first calculating all the distances, using Eq."
2061,(9.19).
2062,How long will it take to do it?
2063,"If you do it at home, it will take a very long time!"
2064,"Thus it takes only two minutes to follow Jupiter around the sun, with all the perturbations of all the planets correct to one part in a billion, by this method!"
2065,"If we make the interval a thousand times smaller, it is a million times more accurate."
2066,"So, as we said, we began this chapter not knowing how to calculate even the motion of a mass on a spring."
2067,"Now, armed with the tremendous power of Newton’s laws, we can not only calculate such simple motions but also, given only a machine to handle the arithmetic, even the tremendously complex motions of the planets, to as high a degree of precision as we wish!"
2068,"On the basis of Newton’s second law of motion, which gives the relation between the acceleration of any body and the force acting on it, any problem in mechanics can be solved in principle."
2069,"For example, to determine the motion of a few particles, one can use the numerical method developed in the preceding chapter."
2070,But there are good reasons to make a further study of Newton’s laws.
2071,"First, there are quite simple cases of motion which can be analyzed not only by numerical methods, but also by direct mathematical analysis."
2072,"In the same manner, although the motion of one body around the sun, determined by gravitation, can be calculated point by point by the numerical methods of Chapter 9, which show the general shape of the orbit, it is nice also to get the exact shape, which analysis reveals as a perfect ellipse."
2073,"Unfortunately, there are really very few problems which can be solved exactly by analysis."
2074,"In the case of the harmonic oscillator, for example, if the spring force is not proportional to the displacement, but is something more complicated, one must fall back on the numerical method."
2075,"Or if there are two bodies going around the sun, so that the total number of bodies is three, then analysis cannot produce a simple formula for the motion, and in practice the problem must be done numerically."
2076,"That is the famous three-body problem, which so long challenged human powers of analysis; it is very interesting how long it took people to appreciate the fact that perhaps the powers of mathematical analysis were limited and it might be necessary to use the numerical methods."
2077,"Today an enormous number of problems that cannot be done analytically are solved by numerical methods, and the old three-body problem, which was supposed to be so difficult, is solved as a matter of routine in exactly the same manner that was described in the preceding chapter, namely, by doing enough arithmetic."
2078,"However, there are also situations where both methods fail: the simple problems we can do by analysis, and the moderately difficult problems by numerical, arithmetical methods, but the very complicated problems we cannot do by either method."
2079,"A complicated problem is, for example, the collision of two automobiles, or even the motion of the molecules of a gas."
2080,"Anything like the motion of the molecules or atoms of a gas or a block of iron, or the motion of the stars in a globular cluster, instead of just two or three planets going around the sun—such problems we cannot do directly, so we have to seek other means."
2081,"In the situations in which we cannot follow details, we need to know some general properties, that is, general theorems or principles which are consequences of Newton’s laws."
2082,"One of these is the principle of conservation of energy, which was discussed in Chapter 4."
2083,"Another is the principle of conservation of momentum, the subject of this chapter."
2084,"Another reason for studying mechanics further is that there are certain patterns of motion that are repeated in many different circumstances, so it is good to study these patterns in one particular circumstance."
2085,"For example, we shall study collisions; different kinds of collisions have much in common."
2086,"In the flow of fluids, it does not make much difference what the fluid is, the laws of the flow are similar."
2087,"Other problems that we shall study are vibrations and oscillations and, in particular, the peculiar phenomena of mechanical waves—sound, vibrations of rods, and so on."
2088,"In our discussion of Newton’s laws it was explained that these laws are a kind of program that says “Pay attention to the forces,” and that Newton told us only two things about the nature of forces."
2089,"In the case of gravitation, he gave us the complete law of the force."
2090,"In the case of the very complicated forces between atoms, he was not aware of the right laws for the forces; however, he discovered one rule, one general property of forces, which is expressed in his Third Law, and that is the total knowledge that Newton had about the nature of forces—the law of gravitation and this principle, but no other details."
2091,This principle is that action equals reaction.
2092,"What is meant is something of this kind: Suppose we have two small bodies, say particles, and suppose that the first one exerts a force on the second one, pushing it with a certain force."
2093,"Then, simultaneously, according to Newton’s Third Law, the second particle will push on the first with an equal force, in the opposite direction; furthermore, these forces effectively act in the same line."
2094,"This is the hypothesis, or law, that Newton proposed, and it seems to be quite accurate, though not exact (we shall discuss the errors later)."
2095,For the moment we shall take it to be true that action equals reaction.
2096,"Of course, if there is a third particle, not on the same line as the other two, the law does not mean that the total force on the first one is equal to the total force on the second, since the third particle, for instance, exerts its own push on each of the other two."
2097,"The result is that the total effect on the first two is in some other direction, and the forces on the first two particles are, in general, neither equal nor opposite."
2098,"However, the forces on each particle can be resolved into parts, there being one contribution or part due to each other interacting particle."
2099,Then each pair of particles has corresponding components of mutual interaction that are equal in magnitude and opposite in direction.
2100,Now what are the interesting consequences of the above relationship?
2101,The forces between them are equal and opposite; what are the consequences?
2102,We have now obtained the result that the total momentum of the two particles does not change because of any mutual interactions between them.
2103,This statement expresses the law of conservation of momentum in that particular example.
2104,"If we extend the argument to three or more interacting particles in more complicated circumstances, it is evident that so far as internal forces are concerned, the total momentum of all the particles stays constant, since an increase in momentum of one, due to another, is exactly compensated by the decrease of the second, due to the first."
2105,"That is, all the internal forces will balance out, and therefore cannot change the total momentum of the particles."
2106,"Then if there are no forces from the outside (external forces), there are no forces that can change the total momentum; hence the total momentum is a constant."
2107,It is worth describing what happens if there are forces that do not come from the mutual actions of the particles in question: suppose we isolate the interacting particles.
2108,"If there are only mutual forces, then, as before, the total momentum of the particles does not change, no matter how complicated the forces."
2109,"On the other hand, suppose there are also forces coming from the particles outside the isolated group."
2110,"Any force exerted by outside bodies on inside bodies, we call an external force."
2111,"We shall later demonstrate that the sum of all external forces equals the rate of change of the total momentum of all the particles inside, a very useful theorem."
2112,Therefore Eq.
2113,"(10.3) is really three equations, one for each direction."
2114,"In addition to the law of conservation of momentum, there is another interesting consequence of Newton’s Second Law, to be proved later, but merely stated now."
2115,This principle is that the laws of physics will look the same whether we are standing still or moving with a uniform speed in a straight line.
2116,"For example, a child bouncing a ball in an airplane finds that the ball bounces the same as though he were bouncing it on the ground."
2117,"Even though the airplane is moving with a very high velocity, unless it changes its velocity, the laws look the same to the child as they do when the airplane is standing still."
2118,This is the so-called relativity principle.
2119,"As we use it here we shall call it “Galilean relativity” to distinguish it from the more careful analysis made by Einstein, which we shall study later."
2120,"We have just derived the law of conservation of momentum from Newton’s laws, and we could go on from here to find the special laws that describe impacts and collisions."
2121,"But for the sake of variety, and also as an illustration of a kind of reasoning that can be used in physics in other circumstances where, for example, one might not know Newton’s laws and might take a different approach, we shall discuss the laws of impacts and collisions from a completely different point of view."
2122,"We shall base our discussion on the principle of Galilean relativity, stated above, and shall end up with the law of conservation of momentum."
2123,We shall start by assuming that nature would look the same if we run along at a certain speed and watch it as it would if we were standing still.
2124,"Before discussing collisions in which two bodies collide and stick together, or come together and bounce apart, we shall first consider two bodies that are held together by a spring or something else, and are then suddenly released and pushed by the spring or perhaps by a little explosion."
2125,"Further, we shall consider motion in only one direction."
2126,"First, let us suppose that the two objects are exactly the same, are nice symmetrical objects, and then we have a little explosion between them."
2127,This is an illustration of a kind of thinking that is very useful in many problems but would not be brought out if we just started with the formulas.
2128,"The first result from our experiment is that equal objects will have equal speed, but now suppose that we have two objects made of different materials, say copper and aluminum, and we make the two masses equal."
2129,"We shall now suppose that if we do the experiment with two masses that are equal, even though the objects are not identical, the velocities will be equal."
2130,"Someone might object: “But you know, you could do it backwards, you did not have to suppose that."
2131,"You could define equal masses to mean two masses that acquire equal velocities in this experiment.” We follow that suggestion and make a little explosion between the copper and a very large piece of aluminum, so heavy that the copper flies out and the aluminum hardly budges."
2132,"That is too much aluminum, so we reduce the amount until there is just a very tiny piece, then when we make the explosion the aluminum goes flying away, and the copper hardly budges."
2133,That is not enough aluminum.
